transaction_date,operator_name,transaction_type,transaction_amount,customer_age,customer_gender,customer_location,service_plan,data_usage_(mb),call_duration_(min),sms_sent,internet_package,transaction_status
2023-10-29 02:48:20,9mobile,Bill Payment,4804.1,39.0,other,Kaduna,Postpaid,3440.0,234.3,13.0,Weekly,Failed
2024-03-02 16:58:08,Airtel,Bill Payment,4190.81,20.0,female,Kano,Postpaid,4624.89,250.8,75.0,Weekly,Completed
2023-10-22 19:25:17,Glo,Airtime Purchase,13647.7,32.0,male,Gombe,Prepaid,3653.14,273.39,47.0,Daily,Pending
2024-07-05 02:27:15,9mobile,Airtime Purchase,13246.3,30.0,male,Minna,Postpaid,2340.04,4.0,56.0,Daily,Completed
1971-01-09 15:49:16,Glo,Bill Payment,12112.0,38.0,male,Asaba,Postpaid,1501.59,33.21,74.0,Daily,Completed
1994-12-20 13:32:50,Glo,Data Purchase,19081.8,57.0,male,Minna,Postpaid,2306.3,9.36,76.0,Daily,Completed
2023-08-08 23:31:50,Airtel,Data Purchase,224.03,29.0,female,Sokoto,Postpaid,1931.0,284.58,36.0,Weekly,Completed
2024-06-04 20:33:03,MTN,Data Purchase,12396.39,37.0,male,Makurdi,Prepaid,2712.8,115.51,25.0,Monthly,Failed
2019-03-06 13:27:59,Glo,Airtime Purchase,355.9,41.0,female,Kano,Postpaid,1339.0,284.0,66.0,Weekly,Failed
2023-09-08 10:51:19,9mobile,Bill Payment,18870.65,67.0,male,Makurdi,Prepaid,4922.34,186.47,55.0,Weekly,Completed
2023-10-14 04:25:16,MTN,Airtime Purchase,18814.0,62.0,male,Gombe,Prepaid,3166.0,183.94,69.0,Daily,Failed
1995-03-25 01:42:04,Glo,Airtime Purchase,13891.8,41.0,male,Oyo,Prepaid,1528.0,281.61,48.0,Monthly,Completed
2019-04-26 01:01:23,MTN,Data Purchase,19131.58,45.0,male,Minna,Prepaid,1806.24,158.45,96.0,Daily,Failed
2024-06-23 11:00:50,Airtel,Bill Payment,5517.71,67.0,male,Aba,Postpaid,2198.79,128.64,78.0,Weekly,Failed
2024-04-28 08:24:02,MTN,Data Purchase,3883.83,44.0,female,Maiduguri,Prepaid,3905.83,253.18,14.0,Daily,Pending
2024-05-29 06:48:33,MTN,Bill Payment,19467.32,26.0,female,Jalingo,Postpaid,3424.54,68.0,59.0,Monthly,Pending
2024-07-07 05:32:18,Airtel,Bill Payment,11149.4,45.0,female,Port Harcourt,Prepaid,1793.9,34.72,55.0,Daily,Pending
